---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| building                                                    | polygon                                                                               | positions                                                                                             |
===============================================================================================================================================================================================================================================================
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO216_1> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#UUID_319ec773-467a-4d4d-a9cc-23d3c6387489> | "1842674.71519701 5176297.87170507 221.10000000 1842672.31824961 5176306.11514828 221.10000000 1842672.31824961 5176306.11514828 249.77189710 1842674.71519701 5176297.87170507 249.76169887 1842674.71519701 5176297.87170507 221.10000000 "^^<http://www.opengis.net/gml#doubleList> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO216_1> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#UUID_acfa205d-2042-4dc5-ba21-a0f3a9946f5d> | "1842665.41700400 5176301.95804094 221.10000000 1842665.20099422 5176301.89668536 221.10000000 1842664.98498444 5176301.83532979 221.10000000 1842664.98498444 5176301.83532979 252.07821083 1842665.41700400 5176301.95804094 251.94982530 1842665.41700400 5176301.95804094 221.10000000 "^^<http://www.opengis.net/gml#doubleList> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO216_1> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#UUID_3a301881-c88e-4105-bc5f-e4fc2e30ff87> | "1842672.31824961 5176306.11514828 221.10000000 1842668.66249167 5176304.72656753 221.10000000 1842665.00673373 5176303.33798679 221.10000000 1842665.00673373 5176303.33798679 251.95023288 1842672.31824961 5176306.11514828 249.77189710 1842672.31824961 5176306.11514828 221.10000000 "^^<http://www.opengis.net/gml#doubleList> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO216_1> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#UUID_2128da0e-c5aa-4e67-aee9-dc51e72d738b> | "1842666.26382188 5176296.42219668 252.13642973 1842665.71352362 5176298.75152928 252.11137748 1842664.98498444 5176301.83532979 252.07821083 1842664.98498444 5176301.83532979 221.10000000 1842665.71352362 5176298.75152928 221.10000000 1842666.26382188 5176296.42219668 221.10000000 1842666.26382188 5176296.42219668 252.13642973 "^^<http://www.opengis.net/gml#doubleList> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO216_1> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#UUID_490fa06b-43fb-411a-8cd4-6859eff0de22> | "1842665.41700400 5176301.95804094 251.94982530 1842665.00673373 5176303.33798679 251.95023288 1842665.00673373 5176303.33798679 221.10000000 1842665.41700400 5176301.95804094 221.10000000 1842665.41700400 5176301.95804094 251.94982530 "^^<http://www.opengis.net/gml#doubleList> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO216_1> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#UUID_b6a79bf3-eb19-413f-b162-9e135a8cbaff> | "1842674.71519701 5176297.87170507 221.10000000 1842674.71519701 5176297.87170507 249.76169887 1842666.26382188 5176296.42219668 252.13642973 1842666.26382188 5176296.42219668 221.10000000 1842670.48950945 5176297.14695087 221.10000000 1842674.71519701 5176297.87170507 221.10000000 "^^<http://www.opengis.net/gml#doubleList> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO216_1> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#UUID_baa98329-ef48-49a8-aa06-5c5c99ec88a3> | "1842674.71519701 5176297.87170507 221.10000000 1842670.48950945 5176297.14695087 221.10000000 1842666.26382188 5176296.42219668 221.10000000 1842665.71352362 5176298.75152928 221.10000000 1842664.98498444 5176301.83532979 221.10000000 1842665.20099422 5176301.89668536 221.10000000 1842665.41700400 5176301.95804094 221.10000000 1842665.00673373 5176303.33798679 221.10000000 1842668.66249167 5176304.72656753 221.10000000 1842672.31824961 5176306.11514828 221.10000000 1842674.71519701 5176297.87170507 221.10000000 "^^<http://www.opengis.net/gml#doubleList> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO216_1> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#UUID_ee2052d3-a362-4dee-bfe9-a81e5d0dc6eb> | "1842674.71519701 5176297.87170507 249.76169887 1842672.31824961 5176306.11514828 249.77189710 1842665.00673373 5176303.33798679 251.95023288 1842665.41700400 5176301.95804094 251.94982530 1842664.98498444 5176301.83532979 252.07821083 1842665.71352362 5176298.75152928 252.11137748 1842666.26382188 5176296.42219668 252.13642973 1842674.71519701 5176297.87170507 249.76169887 "^^<http://www.opengis.net/gml#doubleList> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AN60_1>  | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#UUID_0998f827-4bc7-4653-ac0e-c197516a5c02> | "1842769.59243956 5176267.09611792 213.77281665 1842762.47049913 5176271.97283094 213.77281665 1842764.50238180 5176265.10337580 215.28049820 1842769.59243956 5176267.09611792 213.77281665 "^^<http://www.opengis.net/gml#doubleList> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AN60_1>  | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#UUID_f3411f0b-afd8-4bf4-94b0-8816b3ba05bd> | "1842768.91902708 5176264.00975060 213.77281665 1842763.48495251 5176259.63157739 213.77281665 1842763.48495251 5176259.63157739 201.90000000 1842768.91902708 5176264.00975060 201.90000000 1842768.91902708 5176264.00975060 213.77281665 "^^<http://www.opengis.net/gml#doubleList> |
