--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| building                                                  | predicate                                                            | object                                                      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV64>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV64>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_646>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV64>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_646>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV64>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AV64"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV64>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV64>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM34>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM34_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM34>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM34>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1144>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM34>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1144>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM34>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AM34"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM34>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM34>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV67>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV67_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV67>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV67>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1261>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV67>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1261>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV67>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AV67"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV67>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV67>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM2>   | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM2_1>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM2>   | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM2>   | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1061>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM2>   | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1061>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM2>   | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AM2"^^<http://www.opengis.net/gml#id>              |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM2>   | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AM2>   | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE211> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE211_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE211> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE211> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_270>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE211> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_270>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE211> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AE211"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE211> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE211> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL285> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL285_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL285> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL285> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_564>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL285> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_564>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL285> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AL285"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL285> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL285> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP148> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP148_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP148> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP148> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_838>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP148> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_838>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP148> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AP148"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP148> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP148> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP196> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP196_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP196> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP196> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_287>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP196> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_287>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP196> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AP196"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP196> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP196> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR46>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR46_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR46>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR46>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_792>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR46>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_792>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR46>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AR46"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR46>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR46>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV66>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV66_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV66>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV66>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_300>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV66>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_300>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV66>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AV66"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV66>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV66>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO79>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO79_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO79>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO79>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1274>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO79>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1274>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO79>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AO79"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO79>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AO79>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD42>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD42_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD42>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD42>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1620>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD42>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1620>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD42>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AD42"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD42>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD42>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL284> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL284_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL284> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL284> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_387>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL284> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_387>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL284> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AL284"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL284> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL284> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS106> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS106_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS106> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS106> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_367>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS106> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_367>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS106> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AS106"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS106> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS106> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP147> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP147_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP147> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP147> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_346>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP147> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_346>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP147> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AP147"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP147> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP147> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP195> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP195_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP195> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP195> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1535>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP195> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1535>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP195> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AP195"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP195> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AP195> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR41>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR41_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR41>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR41>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_292>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR41>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_292>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR41>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AR41"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR41>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AR41>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE213> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE213_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE213> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE213> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_778>   |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE213> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_778>        |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE213> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AE213"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE213> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE213> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS105> | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS105_1> |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS105> | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS105> | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1268>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS105> | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1268>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS105> | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AS105"^^<http://www.opengis.net/gml#id>            |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS105> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AS105> | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV61>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AV61_1>  |
